AGARTALA,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.7 ULTRA DCR35CBC 100B6MS,PRTL_14515,2596,2,DIESEL,1595000,1515250,1355750,1276000,1116500,957000,797500,717750,638000,558250,478500,398750,279125,237256,154216,131084,91759,VEH_MANF_011,PRTL_14515,MFT2,7490
AGARTALA,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.18 ULTRA SLR56CBC BSVI,PRTL_14516,5055,2,DIESEL,1635000,1553250,1389750,1308000,1144500,981000,817500,735750,654000,572250,490500,408750,286125,243206,158084,134371,94060,VEH_MANF_011,PRTL_14516,MFT2,17600
AGARTALA,EICHER,MOT-PRD-003,EICHER PRO 2110 XPT,PRO 2110XPT E FET PTO BSVI LY PRM,PRTL_14527,3760,3,DIESEL,2345000,2227750,1993250,1876000,1641500,1407000,1172500,1055250,938000,820750,703500,586250,410375,348819,226732,192722,134905,VEH_MANF_034,PRTL_14527,MFT2,13000
AGARTALA,SCANIA,MOT-PRD-003,G 500 XT 8X4 HEAVY,G 500 XT 8X4 HEAVY,PRTL_14521,12742,2,DIESEL,5464000,5190800,4644400,4371200,3824800,3278400,2732000,2458800,2185600,1912400,1639200,1366000,956200,812770,528301,449056,314339,VEH_MANF_141,PRTL_14521,MFT2,35000
LUCKNOW,ASHOK LEYLAND,MOT-PRD-003,ASHOK LEYLAND 3120,AL U 3120 BS VI,PRTL_14517,5660,2,DIESEL,3936000,3739200,3345600,3148800,2755200,2361600,1968000,1771200,1574400,1377600,1180800,984000,688800,585480,380562,323478,226435,VEH_MANF_023,PRTL_14517,MFT2,31000
LUCKNOW,FORCE MOTOR,MOT-PRD-005,TRAVELLER,TRAVELLER (C) (BSIV) SMOOTH,PRTL_14526,2596,21,DIESEL,1860000,1767000,1581000,1488000,1302000,1116000,930000,837000,744000,651000,558000,465000,325500,276675,179839,152863,107004,VEH_MANF_097,PRTL_14526,MFT2,0
LUCKNOW,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.7 ULTRA DCR35CBC 100B6MS,PRTL_14515,2596,2,DIESEL,1595000,1515250,1355750,1276000,1116500,957000,797500,717750,638000,558250,478500,398750,279125,237256,154216,131084,91759,VEH_MANF_011,PRTL_14515,MFT2,7490
LUCKNOW,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.18 ULTRA SLR56CBC BSVI,PRTL_14516,5055,2,DIESEL,1635000,1553250,1389750,1308000,1144500,981000,817500,735750,654000,572250,490500,408750,286125,243206,158084,134371,94060,VEH_MANF_011,PRTL_14516,MFT2,17600
LUCKNOW,EICHER,MOT-PRD-003,EICHER PRO 2110 XPT,PRO 2110XPT E FET PTO BSVI LY PRM,PRTL_14527,3760,3,DIESEL,2345000,2227750,1993250,1876000,1641500,1407000,1172500,1055250,938000,820750,703500,586250,410375,348819,226732,192722,134905,VEH_MANF_034,PRTL_14527,MFT2,13000
LUCKNOW,SCANIA,MOT-PRD-003,G 500 XT 8X4 HEAVY,G 500 XT 8X4 HEAVY,PRTL_14521,12742,2,DIESEL,5464000,5190800,4644400,4371200,3824800,3278400,2732000,2458800,2185600,1912400,1639200,1366000,956200,812770,528301,449056,314339,VEH_MANF_141,PRTL_14521,MFT2,35000
DEHRADUN,ASHOK LEYLAND,MOT-PRD-003,ASHOK LEYLAND 3120,AL U 3120 BS VI,PRTL_14517,5660,2,DIESEL,3936000,3739200,3345600,3148800,2755200,2361600,1968000,1771200,1574400,1377600,1180800,984000,688800,585480,380562,323478,226435,VEH_MANF_023,PRTL_14517,MFT2,31000
DEHRADUN,FORCE MOTOR,MOT-PRD-005,TRAVELLER,TRAVELLER (C) (BSIV) SMOOTH,PRTL_14526,2596,21,DIESEL,1860000,1767000,1581000,1488000,1302000,1116000,930000,837000,744000,651000,558000,465000,325500,276675,179839,152863,107004,VEH_MANF_097,PRTL_14526,MFT2,0
DEHRADUN,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.7 ULTRA DCR35CBC 100B6MS,PRTL_14515,2596,2,DIESEL,1595000,1515250,1355750,1276000,1116500,957000,797500,717750,638000,558250,478500,398750,279125,237256,154216,131084,91759,VEH_MANF_011,PRTL_14515,MFT2,7490
DEHRADUN,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.18 ULTRA SLR56CBC BSVI,PRTL_14516,5055,2,DIESEL,1635000,1553250,1389750,1308000,1144500,981000,817500,735750,654000,572250,490500,408750,286125,243206,158084,134371,94060,VEH_MANF_011,PRTL_14516,MFT2,17600
DEHRADUN,EICHER,MOT-PRD-003,EICHER PRO 2110 XPT,PRO 2110XPT E FET PTO BSVI LY PRM,PRTL_14527,3760,3,DIESEL,2345000,2227750,1993250,1876000,1641500,1407000,1172500,1055250,938000,820750,703500,586250,410375,348819,226732,192722,134905,VEH_MANF_034,PRTL_14527,MFT2,13000
DEHRADUN,SCANIA,MOT-PRD-003,G 500 XT 8X4 HEAVY,G 500 XT 8X4 HEAVY,PRTL_14521,12742,2,DIESEL,5464000,5190800,4644400,4371200,3824800,3278400,2732000,2458800,2185600,1912400,1639200,1366000,956200,812770,528301,449056,314339,VEH_MANF_141,PRTL_14521,MFT2,35000
KOLKATA,ASHOK LEYLAND,MOT-PRD-003,ASHOK LEYLAND 3120,AL U 3120 BS VI,PRTL_14517,5660,2,DIESEL,3936000,3739200,3345600,3148800,2755200,2361600,1968000,1771200,1574400,1377600,1180800,984000,688800,585480,380562,323478,226435,VEH_MANF_023,PRTL_14517,MFT2,31000
KOLKATA,FORCE MOTOR,MOT-PRD-005,TRAVELLER,TRAVELLER (C) (BSIV) SMOOTH,PRTL_14526,2596,21,DIESEL,1860000,1767000,1581000,1488000,1302000,1116000,930000,837000,744000,651000,558000,465000,325500,276675,179839,152863,107004,VEH_MANF_097,PRTL_14526,MFT2,0
KOLKATA,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.7 ULTRA DCR35CBC 100B6MS,PRTL_14515,2596,2,DIESEL,1595000,1515250,1355750,1276000,1116500,957000,797500,717750,638000,558250,478500,398750,279125,237256,154216,131084,91759,VEH_MANF_011,PRTL_14515,MFT2,7490
KOLKATA,TATA,MOT-PRD-003,TATA T.7 ULTRA ,TATA T.18 ULTRA SLR56CBC BSVI,PRTL_14516,5055,2,DIESEL,1635000,1553250,1389750,1308000,1144500,981000,817500,735750,654000,572250,490500,408750,286125,243206,158084,134371,94060,VEH_MANF_011,PRTL_14516,MFT2,17600
KOLKATA,EICHER,MOT-PRD-003,EICHER PRO 2110 XPT,PRO 2110XPT E FET PTO BSVI LY PRM,PRTL_14527,3760,3,DIESEL,2345000,2227750,1993250,1876000,1641500,1407000,1172500,1055250,938000,820750,703500,586250,410375,348819,226732,192722,134905,VEH_MANF_034,PRTL_14527,MFT2,13000
KOLKATA,SCANIA,MOT-PRD-003,G 500 XT 8X4 HEAVY,G 500 XT 8X4 HEAVY,PRTL_14521,12742,2,DIESEL,5464000,5190800,4644400,4371200,3824800,3278400,2732000,2458800,2185600,1912400,1639200,1366000,956200,812770,528301,449056,314339,VEH_MANF_141,PRTL_14521,MFT2,35000
